"id","имя","ссылка","регулярная цена","промо цена"
"470350","Лук репчатый","https://online.metro-cc.ru/products/luk-repchatyj-470350","39",""
"470306","Картофель весовой","https://online.metro-cc.ru/products/kartofel-470306","21",""
"470353","Морковь весовая","https://online.metro-cc.ru/products/morkov-kg","45",""
"557197","Капуста белокочанная","https://online.metro-cc.ru/products/kapusta-belokachannaya-vesovaya-1-kg-557197","49",""
"470359","Перец желтый","https://online.metro-cc.ru/products/perec-zheltyj-470359","479",""
"481693","Капуста Китайская","https://online.metro-cc.ru/products/kapusta-kitajskaya-481693","179",""
"567206","Баклажаны весовые","https://online.metro-cc.ru/products/baklazhany-567206","359",""
"206406","Томаты Фламенко на ветке","https://online.metro-cc.ru/products/tomaty-na-vetke-flamenko","439",""
"321076","Картофель","https://online.metro-cc.ru/products/kartofel-setka-domik","25",""
"470374","Чеснок весовой","https://online.metro-cc.ru/products/chesnok-470374","369",""
"348461","Картофель для варки","https://online.metro-cc.ru/products/kartofel-dlya-varki-25kg","49",""
"481701","Морковь мытая","https://online.metro-cc.ru/products/morkov-mytaya-vesovaya-1-kg-481701","87",""
"481695","Картофель мытый","https://online.metro-cc.ru/products/kartofel-molodoj-vesovoj-1-kg","44",""
"596519","Капуста Брокколи","https://online.metro-cc.ru/products/kapusta-brokkoli","399",""
"137773","Томаты черри","https://online.metro-cc.ru/products/tomaty-cherri-250-g-137773","189",""
"644602","Томаты сливка оранжевые","https://online.metro-cc.ru/products/tomaty-zheltye-644602","449",""
"238152","Томаты черри","https://online.metro-cc.ru/products/tomaty-cherri-krasnye-250g-238152-238152","189",""
"470305","Капуста цветная","https://online.metro-cc.ru/products/kapusta-cvetnaya-470305","259","349"
"470387","Свекла весовая","https://online.metro-cc.ru/products/svekla-470387","45",""
"578807","Картофель красный мытый","https://online.metro-cc.ru/products/kartofel-krasnyj-mytyj-setka-25kg","59",""
"470349","Лук красный","https://online.metro-cc.ru/products/luk-krasnyj-470349","139",""
"644586","Перец Рамиро","https://online.metro-cc.ru/products/perec-ramiro-644586","549",""
"128269","Томаты Рост Фламенко сливовидные","https://online.metro-cc.ru/products/pomidory-flamenko-slivovidnye-450g","229",""
"632180","Имбирь весовой","https://online.metro-cc.ru/products/imbir-632180","589",""
"123376","METRO Chef Томаты сливка","https://online.metro-cc.ru/products/tomaty-slivka-metro-chef","429",""
"557204","Перец красный","https://online.metro-cc.ru/products/perec-krasnyj-vesovoj-1-kg-557204","549",""
